Name,Prop Title,Line,Over,Under,League
James Paxton,MLBProps.EARNEDRUNSALLOWED,2.5,0.5343687300289812,0.4656312699710187,MLB
James Paxton,MLBProps.HITSALLOWED,5.5,0.4933251964299336,0.5066748035700663,MLB
James Paxton,MLBProps.WALKSALLOWED,1.5,0.6023883837698467,0.39761161623015334,MLB
James Paxton,MLBProps.OUTS,17.5,0.5086966604823748,0.49130333951762517,MLB
Stuart Fairchild,MLBProps.SINGLES,0.5,0.4304635761589404,0.5695364238410596,MLB
Stuart Fairchild,MLBProps.HITS,0.5,0.5735154743619072,0.42648452563809275,MLB
Stuart Fairchild,MLBProps.TOTALBASES,0.5,0.5769138660493335,0.4230861339506666,MLB
Stuart Fairchild,MLBProps.RBI,0.5,0.31502264225241183,0.6849773577475881,MLB
Stuart Fairchild,MLBProps.STEALS,0.5,0.1983143282102132,0.8016856717897868,MLB
Will Brennan,MLBProps.SINGLES,0.5,0.5683453237410072,0.43165467625899284,MLB
Will Brennan,MLBProps.HITS,1.5,0.3354410857495373,0.6645589142504627,MLB
Will Brennan,MLBProps.TOTALBASES,1.5,0.4499231838466603,0.5500768161533397,MLB
Will Brennan,MLBProps.RBI,0.5,0.36166771497888395,0.6383322850211159,MLB
Will Brennan,MLBProps.STEALS,0.5,0.2474244959056089,0.7525755040943911,MLB
Spencer Torkelson,MLBProps.SINGLES,0.5,0.488167080818838,0.511832919181162,MLB
Spencer Torkelson,MLBProps.HITS,0.5,0.6836415268240432,0.3163584731759568,MLB
Spencer Torkelson,MLBProps.TOTALBASES,1.5,0.46779859484777514,0.5322014051522248,MLB
Spencer Torkelson,MLBProps.RBI,0.5,0.4287403903015967,0.5712596096984033,MLB
Jeremy Pena,MLBProps.SINGLES,0.5,0.5290292614955876,0.47097073850441246,MLB
Jeremy Pena,MLBProps.HITS,0.5,0.6577931638215749,0.34220683617842507,MLB
Jeremy Pena,MLBProps.TOTALBASES,1.5,0.3975645694903946,0.6024354305096056,MLB
Jeremy Pena,MLBProps.RBI,0.5,0.3195425496131853,0.6804574503868146,MLB
Jeremy Pena,MLBProps.STEALS,0.5,0.15672936276899868,0.8432706372310013,MLB
Luis Rengifo,MLBProps.SINGLES,0.5,0.4492379324142447,0.5507620675857553,MLB
Luis Rengifo,MLBProps.HITS,0.5,0.5883278847318077,0.4116721152681923,MLB
Luis Rengifo,MLBProps.TOTALBASES,0.5,0.5882794891059354,0.4117205108940646,MLB
Luis Rengifo,MLBProps.RBI,0.5,0.25023368125876305,0.749766318741237,MLB
Luis Rengifo,MLBProps.STEALS,0.5,0.0929720652642567,0.9070279347357433,MLB
Tommy Edman,MLBProps.SINGLES,0.5,0.48936663831103544,0.5106333616889644,MLB
Tommy Edman,MLBProps.HITS,0.5,0.641255605381166,0.3587443946188341,MLB
Tommy Edman,MLBProps.TOTALBASES,1.5,0.3772461034448526,0.6227538965551475,MLB
Tommy Edman,MLBProps.RBI,0.5,0.315758313324343,0.684241686675657,MLB
Tommy Edman,MLBProps.STEALS,0.5,0.1882023982362747,0.8117976017637254,MLB
William Contreras,MLBProps.SINGLES,0.5,0.5384615384615384,0.46153846153846145,MLB
William Contreras,MLBProps.HITS,0.5,0.6739519885345755,0.3260480114654246,MLB
William Contreras,MLBProps.TOTALBASES,1.5,0.4214195183776933,0.5785804816223068,MLB
William Contreras,MLBProps.RBI,0.5,0.3660465814482512,0.6339534185517488,MLB
Matt Wallner,MLBProps.SINGLES,0.5,0.391883186600816,0.608116813399184,MLB
Matt Wallner,MLBProps.HITS,0.5,0.5862068965517242,0.41379310344827586,MLB
Matt Wallner,MLBProps.TOTALBASES,0.5,0.5850875587284154,0.41491244127158466,MLB
Matt Wallner,MLBProps.RBI,0.5,0.3424760117020958,0.6575239882979043,MLB
Matt Wallner,MLBProps.STEALS,0.5,0.06633906633906633,0.9336609336609336,MLB
Kyle Isbel,MLBProps.SINGLES,0.5,0.38402753695783404,0.6159724630421659,MLB
Kyle Isbel,MLBProps.HITS,0.5,0.5298044825941821,0.4701955174058178,MLB
Kyle Isbel,MLBProps.TOTALBASES,0.5,0.5322014051522248,0.46779859484777514,MLB
Kyle Isbel,MLBProps.RBI,0.5,0.2915047196002221,0.7084952803997778,MLB
Kyle Isbel,MLBProps.STEALS,0.5,0.13223618921601057,0.8677638107839893,MLB
Salvador Perez,MLBProps.SINGLES,0.5,0.4757149518184644,0.5242850481815357,MLB
Salvador Perez,MLBProps.HITS,0.5,0.6369085355310934,0.3630914644689067,MLB
Salvador Perez,MLBProps.TOTALBASES,1.5,0.4049875890900118,0.5950124109099882,MLB
Salvador Perez,MLBProps.RBI,0.5,0.36764705882352944,0.6323529411764707,MLB
Graham Ashcraft,MLBProps.STRIKEOUTS,3.5,0.5807854756351258,0.4192145243648743,MLB
Graham Ashcraft,MLBProps.EARNEDRUNSALLOWED,2.5,0.4717151908281792,0.5282848091718207,MLB
Graham Ashcraft,MLBProps.HITSALLOWED,5.5,0.5465847593973966,0.4534152406026035,MLB
Graham Ashcraft,MLBProps.WALKSALLOWED,1.5,0.448334756618275,0.5516652433817251,MLB
Graham Ashcraft,MLBProps.OUTS,17.5,0.5305997552019585,0.4694002447980416,MLB
Yainer Diaz,MLBProps.SINGLES,0.5,0.5507620675857553,0.4492379324142447,MLB
Yainer Diaz,MLBProps.HITS,1.5,0.3250512066969454,0.6749487933030547,MLB
Yainer Diaz,MLBProps.TOTALBASES,1.5,0.479636956015825,0.520363043984175,MLB
Yainer Diaz,MLBProps.RBI,0.5,0.4253323414302811,0.5746676585697189,MLB
George Springer,MLBProps.SINGLES,0.5,0.5157946692991116,0.4842053307008884,MLB
George Springer,MLBProps.HITS,0.5,0.6750273802897823,0.3249726197102178,MLB
George Springer,MLBProps.TOTALBASES,1.5,0.4478900600784257,0.5521099399215742,MLB
George Springer,MLBProps.RBI,0.5,0.35036035562102164,0.6496396443789784,MLB
George Springer,MLBProps.STEALS,0.5,0.12621382259495312,0.8737861774050468,MLB
MJ Melendez,MLBProps.SINGLES,0.5,0.3526791897968099,0.6473208102031901,MLB
MJ Melendez,MLBProps.HITS,0.5,0.5718050065876153,0.4281949934123847,MLB
MJ Melendez,MLBProps.TOTALBASES,0.5,0.5735434807283811,0.4264565192716187,MLB
MJ Melendez,MLBProps.RBI,0.5,0.32470381746379995,0.6752961825362002,MLB
MJ Melendez,MLBProps.STEALS,0.5,0.07786885245901638,0.9221311475409836,MLB
Jose Altuve,MLBProps.SINGLES,0.5,0.5678002870206589,0.43219971297934123,MLB
Jose Altuve,MLBProps.HITS,1.5,0.3394666929056381,0.6605333070943619,MLB
Jose Altuve,MLBProps.TOTALBASES,1.5,0.45252225519287836,0.5474777448071216,MLB
Jose Altuve,MLBProps.RBI,0.5,0.3368421052631579,0.6631578947368421,MLB
Jose Altuve,MLBProps.STEALS,0.5,0.22872531418312392,0.7712746858168762,MLB
Mookie Betts,MLBProps.SINGLES,0.5,0.4608030592734225,0.5391969407265774,MLB
Mookie Betts,MLBProps.HITS,0.5,0.6663760094021307,0.33362399059786935,MLB
Mookie Betts,MLBProps.TOTALBASES,1.5,0.457605324861962,0.542394675138038,MLB
Mookie Betts,MLBProps.RBI,0.5,0.34277198211624443,0.6572280178837557,MLB
Mookie Betts,MLBProps.STEALS,0.5,0.17392746113989635,0.8260725388601036,MLB
Riley Greene,MLBProps.SINGLES,0.5,0.49517113497643517,0.5048288650235649,MLB
Riley Greene,MLBProps.HITS,0.5,0.6699761495368574,0.33002385046314275,MLB
Riley Greene,MLBProps.TOTALBASES,1.5,0.4436557231588288,0.5563442768411713,MLB
Riley Greene,MLBProps.RBI,0.5,0.3398058252427184,0.6601941747572815,MLB
Riley Greene,MLBProps.STEALS,0.5,0.07003658284057705,0.9299634171594231,MLB
Austin Hays,MLBProps.SINGLES,0.5,0.5631257755792408,0.4368742244207592,MLB
Austin Hays,MLBProps.HITS,1.5,0.31866246291428235,0.6813375370857176,MLB
Austin Hays,MLBProps.TOTALBASES,1.5,0.43571137935711374,0.5642886206428862,MLB
Austin Hays,MLBProps.RBI,0.5,0.38903297517599117,0.6109670248240089,MLB
Austin Hays,MLBProps.STEALS,0.5,0.0686994990157075,0.9313005009842925,MLB
Christian Vazquez,MLBProps.SINGLES,0.5,0.517548648754046,0.48245135124595406,MLB
Christian Vazquez,MLBProps.HITS,0.5,0.632231599792541,0.3677684002074591,MLB
Christian Vazquez,MLBProps.TOTALBASES,0.5,0.6303843055489742,0.36961569445102593,MLB
Christian Vazquez,MLBProps.RBI,0.5,0.32691673867148874,0.6730832613285112,MLB
Javier Baez,MLBProps.SINGLES,0.5,0.5551601423487544,0.44483985765124556,MLB
Javier Baez,MLBProps.HITS,0.5,0.6750273802897823,0.3249726197102178,MLB
